ID,user_email,partnerType,partnerId,partnerName
4d5a1b22-8e1b-4df2-9d7d-001122334455,john.smith@hp.com,C,C1001,ABC Retail Ltd
8b4f3d90-6c3a-42b6-8b51-112233445566,emma.jones@hp.com,S,S2001,Global Supplies Inc
9c7a5e11-5d8b-47e9-9c01-223344556677,michael.brown@hp.com,C,C1002,Blue Sky Stores
9c7a5e11-5d8b-47e9-9c01-223344556678,michael.brown@hp.com,S,S2001,Global Supplies Inc
1a2b3c4d-5e6f-4789-9abc-334455667788,olivia.davis@hp.com,S,S2002,Prime Components
2b3c4d5e-6f70-489a-abcd-445566778899,william.miller@hp.com,C,C1003,Sunrise Traders
3c4d5e6f-7081-49ab-bcde-556677889900,sophia.wilson@hp.com,S,S2003,NextGen Manufacturing
4e5f6071-8192-4abc-cdef-667788990011,james.moore@hp.com,C,C1004,Vision Enterprises
5f607182-92a3-4bcd-def0-778899001122,ava.taylor@hp.com,S,S2004,TechSource Ltd
60718293-a3b4-4cde-ef01-889900112233,benjamin.anderson@hp.com,C,C1005,Metro Distributors
718293a4-b4c5-4def-f012-990011223344,mia.thomas@hp.com,S,S2005,Industrial Parts Co
